SID,SVOLT,SOV,TORN,SORN,TSN,TEMP,CURRENT
531,48.0,0.0,13,5,3-13-4692,36.187,-5.705359e-08
531,48.0,0.0,13,6,3-13-4692,36.187,-6.008741e-08
531,48.0,0.0,13,7,3-13-4692,36.187,-6.461944e-08
531,48.0,0.0,13,8,3-13-4692,36.25,-6.129622e-08
531,48.0,0.0,13,9,3-13-4692,36.25,-5.866305e-08
531,48.0,0.0,13,10,3-13-4692,36.25,-5.901742e-08
531,48.0,0.0,13,11,3-13-4692,36.25,-6.069735e-08
531,48.0,0.0,13,12,3-13-4692,36.312,-5.885788e-08
531,48.0,0.0,13,13,3-13-4692,36.312,-5.884128e-08
531,48.0,0.0,13,14,3-13-4692,36.312,-5.872041e-08
531,48.0,0.0,13,15,3-13-4692,36.312,-5.494199e-08
531,48.0,0.0,13,16,3-13-4692,36.312,-5.60141e-08
531,48.0,0.0,14,1,3-13-4693,36.875,-5.653089e-08
531,48.0,0.0,14,2,3-13-4693,36.937,-5.688732e-08
531,48.0,0.0,14,3,3-13-4693,36.937,-6.231592e-08
531,48.0,0.0,14,4,3-13-4693,36.937,-5.500781e-08
531,48.0,0.0,14,5,3-13-4693,37.0,-5.652539e-08
531,48.0,0.0,14,6,3-13-4693,37.0,-5.873096e-08
531,48.0,0.0,14,7,3-13-4693,37.062,-6.028789e-08
531,48.0,0.0,14,8,3-13-4693,37.062,-5.793796e-08
531,48.0,0.0,14,9,3-13-4693,37.062,-5.728037e-08
531,48.0,0.0,14,10,3-13-4693,37.062,-5.900379e-08
531,48.0,0.0,14,11,3-13-4693,37.062,-5.794764e-08
531,48.0,0.0,14,12,3-13-4693,37.125,-5.683831e-08
531,48.0,0.0,14,13,3-13-4693,37.125,-5.616415e-08
531,48.0,0.0,14,14,3-13-4693,37.125,-5.639901e-08
531,48.0,0.0,14,15,3-13-4693,37.125,-5.701653e-08
531,48.0,0.0,14,16,3-13-4693,37.125,-5.976018e-08
531,48.0,0.0,15,1,3-13-4694,36.812,-5.499866e-08
531,48.0,0.0,15,2,3-13-4694,36.812,-5.298162e-08
531,48.0,0.0,15,3,3-13-4694,36.875,-5.598225e-08
531,48.0,0.0,15,4,3-13-4694,36.875,-5.265144e-08
531,48.0,0.0,15,5,3-13-4694,36.937,-5.463459e-08
531,48.0,0.0,15,6,3-13-4694,36.937,-5.72795e-08
531,48.0,0.0,15,7,3-13-4694,36.937,-5.935659e-08
531,48.0,0.0,15,8,3-13-4694,37.0,-5.17576e-08
531,48.0,0.0,15,9,3-13-4694,37.0,-5.475616e-08
531,48.0,0.0,15,10,3-13-4694,37.0,-5.767322e-08
531,48.0,0.0,15,11,3-13-4694,37.0,-5.359916e-08
531,48.0,0.0,15,12,3-13-4694,37.0,-5.223353e-08
531,48.0,0.0,15,13,3-13-4694,37.062,-5.235924e-08
531,48.0,0.0,15,14,3-13-4694,37.062,-5.197659e-08
531,48.0,0.0,15,15,3-13-4694,37.062,-5.173137e-08
531,48.0,0.0,15,16,3-13-4694,37.062,-5.110625e-08
531,48.0,0.0,16,1,0-0-0000,0.0,-2.111034e-13
531,48.0,0.0,16,2,0-0-0000,0.0,-2.103563e-12
531,48.0,0.0,16,3,0-0-0000,0.0,2.430923e-13
531,48.0,0.0,16,4,0-0-0000,0.0,-2.360138e-12
531,48.0,0.0,16,5,0-0-0000,0.0,9.452865e-14
531,48.0,0.0,16,6,0-0-0000,0.0,3.104686e-12
531,48.0,0.0,16,7,0-0-0000,0.0,5.245012e-13
531,48.0,0.0,16,8,0-0-0000,0.0,-2.326267e-12
531,48.0,0.0,16,9,0-0-0000,0.0,6.811519e-13
531,48.0,0.0,16,10,0-0-0000,0.0,1.452951e-12
531,48.0,0.0,16,11,0-0-0000,0.0,-6.854873e-13
531,48.0,0.0,16,12,0-0-0000,0.0,1.381747e-12
